Hz,Gain
1,11.1837637800955
2,24.5474488457927
5,36.3407245210006
10,40.7803464399482
20,43.1551777209373
50,44.2170673062979
100,44.8607609737259
200,46.2857732189499
500,50.5680487590723
1000,55.2400593875023
1800,60.522490334909
1900,67.339659519557
2000,70.9604138981106
2100,71.5544304901804
2200,71.1115614554591
2300,70.4853253753396
2400,69.7201037272448
2500,68.6849890479295
